n_genomes,pan_genome_size
1,2586
2,2978
3,3163
4,3375
5,3708
6,3744
7,3817
8,3942
9,3969
10,3973
11,4018
12,4076
13,4085
14,4091
15,4169
16,4227
17,4313
18,4313
19,4351
20,4353
21,4353
22,4372
23,4400
24,4403
25,4405
26,4407
27,4462
28,4470
29,4510
30,4512
31,4576
32,4639
33,4654
34,4655
35,4659
36,4672
37,4673
38,4673
39,4681
40,4683
41,4720
42,4748
43,4748
44,4749
45,4749
46,4749
47,4796
48,4816
49,4817
50,4817
51,4834
52,4834
53,4850
54,4910
55,4911
56,4911
57,4941
58,4941
59,4948
60,4948
61,4948
62,4950
63,4958
64,4966
65,4973
66,4990
67,4991
68,4991
69,4992
70,4992
71,4994
72,4996
73,4996
74,5011
75,5023
76,5025
77,5060
78,5060
79,5060
80,5061
81,5062
82,5078
83,5078
84,5080
85,5080
86,5081
87,5081
88,5081
89,5082
90,5082
91,5089
92,5090
93,5090
94,5090
95,5091
96,5094
97,5095
98,5095
99,5101
100,5101
101,5101
102,5101
103,5101
104,5101
105,5120
106,5120
107,5123
108,5164
109,5164
110,5165
111,5167
112,5167
113,5182
114,5234
115,5234
116,5234
117,5234
118,5240
119,5240
120,5240
121,5252
122,5252
123,5252
124,5258
125,5258
126,5258
127,5259
128,5260
129,5260
130,5269
131,5290
132,5324
133,5327
134,5327
135,5327
136,5327
137,5328
138,5328
139,5328
140,5329
141,5350
142,5351
143,5355
144,5361
145,5371
146,5371
147,5427
148,5428
149,5428
150,5439
151,5448
152,5448
153,5449
154,5465
155,5465
156,5465
157,5466
158,5466
159,5466
160,5466
161,5466
162,5467
163,5473
164,5473
165,5488
166,5511
167,5511
168,5511
169,5512
170,5512
171,5565
172,5565
173,5565
174,5565
175,5565
176,5565
177,5568
178,5568
179,5574
180,5575
181,5580
182,5581
183,5582
184,5582
185,5582
186,5582
187,5585
188,5586
189,5586
190,5586
191,5591
192,5591
193,5598
194,5598
195,5598
196,5598
197,5598
198,5598
199,5598
200,5613
201,5614
202,5614
203,5614
204,5617
205,5617
206,5617
207,5627
208,5627
209,5627
210,5627
211,5627
212,5627
213,5627
214,5627
215,5627
216,5627
217,5627
218,5627
219,5627
220,5636
221,5636
222,5636
223,5637
224,5637
225,5637
226,5637
227,5637
228,5637
229,5638
230,5638
231,5638
232,5638
233,5649
234,5649
235,5649
236,5665
237,5665
238,5665
239,5665
240,5669
241,5669
242,5669
243,5669
244,5669
245,5669
246,5670
247,5670
248,5670
249,5670
250,5670
251,5670
252,5670
253,5673
254,5673
255,5673
256,5673
257,5673
258,5673
259,5674
260,5676
261,5676
262,5676
263,5699
264,5700
265,5702
266,5702
267,5704
268,5706
269,5706
270,5706
271,5706
272,5706
273,5707
274,5711
275,5729
276,5729
277,5729
278,5729
279,5769
280,5769
281,5769
282,5769
283,5769
284,5769
285,5769
286,5769
287,5769
288,5770
289,5770
290,5770
291,5770
292,5783
293,5783
294,5793
295,5793
296,5793
297,5793
298,5793
299,5793
300,5795
301,5796
302,5796
303,5796
304,5796
305,5796
306,5796
307,5796
308,5796
309,5797
310,5804
311,5804
312,5804
313,5806
314,5806
315,5806
316,5806
317,5806
318,5806
319,5806
320,5890
321,5891
322,5891
323,5891
324,5891
325,5891
326,5891
327,5891
328,5891
329,5903
330,5903
331,5903
332,5904
333,5911
334,5911
335,5911
336,5911
337,5911
338,5911
339,5911
340,5925
341,5925
342,5925
343,5925
344,5925
345,5925
346,5925
347,5925
348,5925
349,5925
350,5925
351,5925
352,5925
353,5925
354,5930
355,5930
356,5930
357,5930
358,5930
359,5930
360,5930
361,5940
362,5940
363,5940
364,5940
365,5940
366,5941
367,5941
368,5941
369,5941
370,5941
371,5959
372,5964
373,5965
374,5965
375,5966
376,5966
377,5966
378,5966
379,5966
380,5966
381,5966
382,5967
383,5967
384,5992
