Gene,1,2,3,4,5,6,7,8,9,10,11,12
group_1361,1.0,0.0,1.0,0.0,0.016666666666666666,0.0,1.0,0.45454545454545453,0.01,0.9827586206896551,0.0,0.9912280701754386
group_725,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45454545454545453,0.01,0.9655172413793104,0.0,0.9912280701754386
degU~~~narL,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45454545454545453,0.01,0.9885057471264368,0.0,0.9912280701754386
group_1325,1.0,0.0,0.0,0.0,0.016666666666666666,0.0,1.0,0.45454545454545453,0.01,0.9885057471264368,0.0,0.9912280701754386
group_148,0.9469026548672567,0.0,0.0,0.038461538461538464,0.225,0.2857142857142857,1.0,0.0,0.11,0.7988505747126436,0.0,0.9298245614035088
group_3334,0.9203539823008849,0.0,0.0,0.13076923076923078,0.39166666666666666,0.23809523809523808,1.0,0.2727272727272727,0.06,0.632183908045977,0.12,0.8421052631578947
group_1928,0.008849557522123894,0.0,1.0,0.0,0.2,0.38095238095238093,1.0,0.9090909090909091,0.92,0.9195402298850575,1.0,0.5526315789473685
group_2634,0.9557522123893806,0.0,1.0,0.6384615384615384,0.3,0.3333333333333333,1.0,0.45454545454545453,0.89,0.27011494252873564,1.0,0.12280701754385964
group_2413,0.0,1.0,0.0,0.0,0.0,0.42857142857142855,1.0,0.09090909090909091,0.98,1.0,1.0,0.9912280701754386
group_2058,0.0,1.0,0.0,0.0,0.058333333333333334,0.42857142857142855,1.0,0.09090909090909091,0.98,1.0,1.0,0.9912280701754386
group_3240,0.0,1.0,0.0,0.0,0.1,0.0,1.0,0.09090909090909091,1.0,1.0,1.0,0.9912280701754386
group_1120,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.91,0.9942528735632183,1.0,0.9912280701754386
group_619,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.98,1.0,1.0,0.9824561403508771
group_1932,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.98,1.0,1.0,0.9912280701754386
group_2053,0.008849557522123894,0.0,0.0,0.0,0.5916666666666667,1.0,1.0,1.0,0.97,1.0,1.0,0.017543859649122806
group_2322,0.017699115044247787,0.5,0.0,0.3384615384615385,0.6166666666666667,1.0,0.0,1.0,1.0,0.896551724137931,1.0,0.008771929824561403
group_2490,0.017699115044247787,0.5,0.0,0.3384615384615385,0.6166666666666667,1.0,0.0,1.0,1.0,0.9195402298850575,1.0,0.008771929824561403
group_980,0.05309734513274336,0.0,0.0,0.007692307692307693,0.14166666666666666,0.5714285714285714,0.0,0.6363636363636364,0.93,0.9425287356321839,1.0,0.7105263157894737
group_1926,0.035398230088495575,0.0,0.0,0.18461538461538463,0.0,0.0,0.0,0.7272727272727273,1.0,0.9885057471264368,1.0,0.7543859649122807
nirC_1~~~nirC_2,0.035398230088495575,0.0,0.0,0.18461538461538463,0.0,0.0,0.0,0.7272727272727273,1.0,0.9885057471264368,1.0,0.7543859649122807
