gene_id,frequency,compartment_v2
carB_4~~~carB_1,0.9034564958283671,Shell
mrdA_2~~~mrdA_3~~~mrdA_1,0.8426698450536353,Shell
group_3249,0.7699642431466031,Shell
tetM~~~tetW~~~tetO~~~tetW_1,0.44219308700834326,Shell
folP~~~folP_2,0.433849821215733,Shell
emrE,0.4195470798569726,Shell
tetW~~~tetW_1,0.38617401668653156,Shell
carB_1,0.3599523241954708,Shell
ant1,0.3432657926102503,Shell
group_2264,0.34088200238379024,Shell
group_717,0.3265792610250298,Shell
pbuE~~~ydhP_1,0.27056019070321813,Shell
group_1598,0.2622169249106079,Shell
group_744,0.2395709177592372,Shell
hin_2~~~neo_1~~~neo_2,0.23837902264600716,Shell
group_1419,0.23837902264600716,Shell
neo,0.23837902264600716,Shell
folP_2,0.23718712753277713,Shell
group_2003,0.1632896305125149,Shell
group_752,0.14898688915375446,Cloud
ydhP_1,0.13706793802145412,Cloud
neo_1~~~neo_2,0.11084624553039332,Cloud
group_1202,0.11084624553039332,Cloud
group_4275,0.10846245530393325,Cloud
tetAB_A,0.10488676996424315,Cloud
aacA4~~~aacA4_1,0.07747318235995232,Cloud
aacA4_1,0.06912991656734208,Cloud
pbpI~~~mrdA~~~mrdA_1,0.015494636471990465,Cloud
group_4088,0.007151370679380214,Cloud
bla,0.004767580452920143,Cloud
group_4226,0.0023837902264600714,Cloud
aadB,0.0023837902264600714,Cloud
group_4224,0.0023837902264600714,Cloud
gdx_2,0.0023837902264600714,Cloud
tetA_2,0.0023837902264600714,Cloud
