gene_id,count,frequency,compartment
guaA,839,1.0,Core
group_3408,839,1.0,Core
dcp~~~dcp_1,839,1.0,Core
mntB_2~~~mntB_1,839,1.0,Core
argD~~~argD_2~~~argD_1,839,1.0,Core
group_3387,839,1.0,Core
viuB,839,1.0,Core
tyrS,839,1.0,Core
group_3344,839,1.0,Core
paaZ~~~rocA_2,839,1.0,Core
group_3311,839,1.0,Core
group_3294,839,1.0,Core
fbpA,839,1.0,Core
group_3223,839,1.0,Core
rmlB~~~gmd,839,1.0,Core
group_3216,839,1.0,Core
rmlA~~~rmlA_2~~~rmlA_1,839,1.0,Core
baeB,839,1.0,Core
rnr_2~~~rnr~~~rnr_1,839,1.0,Core
group_3188,839,1.0,Core
group_3187,839,1.0,Core
group_3186,839,1.0,Core
group_3171,839,1.0,Core
pepO,839,1.0,Core
group_3160,839,1.0,Core
pknD_1~~~pknD_3~~~pknF~~~pknD_2~~~pknD_5~~~pknD_4,839,1.0,Core
group_3159,839,1.0,Core
group_3152,839,1.0,Core
radA,839,1.0,Core
luxS,839,1.0,Core
lipA~~~LIAS,839,1.0,Core
group_3137,839,1.0,Core
gyrA,839,1.0,Core
oatA,839,1.0,Core
group_3107,839,1.0,Core
group_3104,839,1.0,Core
group_3103,839,1.0,Core
purH,839,1.0,Core
group_3101,839,1.0,Core
lcfB,839,1.0,Core
sigC,839,1.0,Core
group_3096,839,1.0,Core
group_3091,839,1.0,Core
group_3088,839,1.0,Core
group_3085,839,1.0,Core
eccB1,839,1.0,Core
group_3082,839,1.0,Core
deoC~~~deoC_2~~~deoC_1,839,1.0,Core
iolS,839,1.0,Core
lipB,839,1.0,Core
lsrG,839,1.0,Core
tcrX,839,1.0,Core
group_3077,839,1.0,Core
group_3075,839,1.0,Core
thiG~~~thiG_2~~~thiG_1,839,1.0,Core
elaA,839,1.0,Core
mtcA2,839,1.0,Core
recG,839,1.0,Core
dtd,839,1.0,Core
group_3066,839,1.0,Core
dhmA,839,1.0,Core
pimA,839,1.0,Core
acuI,839,1.0,Core
group_3047,839,1.0,Core
group_3044,839,1.0,Core
group_3040,839,1.0,Core
group_3039,839,1.0,Core
sdaC_1~~~sdaC_4~~~sdaC_2,839,1.0,Core
group_3037,839,1.0,Core
hisS,839,1.0,Core
dnaE2~~~dnaE2_1~~~dnaE2_2,839,1.0,Core
pycA_1~~~pycA_2~~~pycA~~~pycA_3,839,1.0,Core
ybjI~~~ywpJ,839,1.0,Core
nqrF,839,1.0,Core
group_3015,839,1.0,Core
group_3009,839,1.0,Core
hepA,839,1.0,Core
arcD,839,1.0,Core
group_3004,839,1.0,Core
moeZ_1~~~moeZ_2,839,1.0,Core
rihA_2~~~rihA_1~~~rihA_3,839,1.0,Core
group_3002,839,1.0,Core
otsA,839,1.0,Core
group_2995,839,1.0,Core
purN,839,1.0,Core
group_2994,839,1.0,Core
group_2992,839,1.0,Core
group_2990,839,1.0,Core
group_2989,839,1.0,Core
xylB_2~~~xylB_1,839,1.0,Core
katA,839,1.0,Core
carD,839,1.0,Core
group_2983,839,1.0,Core
tpx,839,1.0,Core
groL1_2~~~groL1_1~~~groL1~~~groL,839,1.0,Core
modA,839,1.0,Core
group_2972,839,1.0,Core
truA,839,1.0,Core
ung,839,1.0,Core
group_2969,839,1.0,Core
group_2968,839,1.0,Core
group_2967,839,1.0,Core
group_2966,839,1.0,Core
group_2962,839,1.0,Core
secF,839,1.0,Core
gcvH~~~gcvH_1,839,1.0,Core
ghrA~~~pdxB~~~proB,839,1.0,Core
mazG,839,1.0,Core
asd~~~asd_2~~~asd_1,839,1.0,Core
group_2957,839,1.0,Core
group_2956,839,1.0,Core
dcd,839,1.0,Core
group_2955,839,1.0,Core
cbiX,839,1.0,Core
group_2951,839,1.0,Core
feaB,839,1.0,Core
group_2949,839,1.0,Core
sasA_1~~~sasA~~~sasA_2,839,1.0,Core
rimM,839,1.0,Core
group_2947,839,1.0,Core
ogt~~~ogt_1~~~ada~~~adaB,839,1.0,Core
group_2945,839,1.0,Core
glf,839,1.0,Core
group_2943,839,1.0,Core
thiS,839,1.0,Core
licT,839,1.0,Core
rsmB,839,1.0,Core
dhaM,839,1.0,Core
group_2935,839,1.0,Core
nudG~~~nudG_2~~~rppH_2~~~mutT2,839,1.0,Core
dhaL,839,1.0,Core
group_2930,839,1.0,Core
yngHB~~~prmC_2~~~rsmD,839,1.0,Core
prmC_1~~~prmC_2~~~prmC_3,839,1.0,Core
arcA~~~arcA_2~~~arcA_1,839,1.0,Core
group_2923,839,1.0,Core
group_2922,839,1.0,Core
group_2921,839,1.0,Core
yhhS~~~bcr_2~~~bcr_1,839,1.0,Core
group_2919,839,1.0,Core
group_2917,839,1.0,Core
pknB,839,1.0,Core
group_2914,839,1.0,Core
ygiD,839,1.0,Core
group_2913,839,1.0,Core
folP2,839,1.0,Core
trmD,839,1.0,Core
feoB_2~~~feoB_1~~~feoB~~~era_2,839,1.0,Core
trmL,839,1.0,Core
group_2905,839,1.0,Core
fabG,839,1.0,Core
group_2904,839,1.0,Core
pat_1~~~pat_2,839,1.0,Core
group_2891,839,1.0,Core
group_2886,839,1.0,Core
group_2880,839,1.0,Core
ytrB~~~btuD_6~~~btuD_9~~~btuD_7~~~btuD_10~~~btuD_8~~~btuD_1~~~btuD_12~~~btuD_2,839,1.0,Core
xyoA,839,1.0,Core
group_2867,839,1.0,Core
sumT~~~cysG_1,839,1.0,Core
cysNC~~~cysD~~~cysNC_1~~~cysNC_2~~~cysN,839,1.0,Core
group_2842,839,1.0,Core
group_2840,839,1.0,Core
group_2839,839,1.0,Core
menB_2~~~menB_3,839,1.0,Core
selB~~~selB_2~~~tuf_1~~~selB_1,839,1.0,Core
group_2837,839,1.0,Core
yknY_2~~~macA~~~btuD_4~~~yknY_1,839,1.0,Core
group_2835,839,1.0,Core
crtN,839,1.0,Core
mtr_1~~~tyrP,839,1.0,Core
group_2831,839,1.0,Core
abgT~~~abgT_1,839,1.0,Core
sdaA~~~sdaA_1,839,1.0,Core
ynfM,839,1.0,Core
acr3~~~acr3_1~~~acr3_2,839,1.0,Core
deaD,839,1.0,Core
icd_2~~~icd_1~~~icd,839,1.0,Core
group_2827,839,1.0,Core
group_2826,839,1.0,Core
group_2825,839,1.0,Core
group_2824,839,1.0,Core
metY~~~metY_2~~~metY_1,839,1.0,Core
valS,839,1.0,Core
nlpA,839,1.0,Core
group_2822,839,1.0,Core
prpC2~~~prpC2_1~~~prpC2_2~~~prpC,839,1.0,Core
menB_1~~~menB_3~~~caiD,839,1.0,Core
group_2820,839,1.0,Core
mrx1,839,1.0,Core
folA,839,1.0,Core
group_2815,839,1.0,Core
group_2809,839,1.0,Core
lnt_2,839,1.0,Core
group_2794,839,1.0,Core
fdhD,839,1.0,Core
liaR_1~~~degU~~~liaR_3,839,1.0,Core
purK_2~~~carB_3~~~pycA_1~~~cfiB~~~carB_2,839,1.0,Core
phrA_2~~~phrA~~~phrA_1,839,1.0,Core
sigD,839,1.0,Core
group_2780,839,1.0,Core
